STATE,ST_CASE,VE_TOTAL,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,MILEPT,LATITUDE,LONGITUD
North Carolina,371011,1,7,51,0,16,10,2015,0,34.99502778,-78.8314
North Carolina,371012,1,1,51,1670,24,10,2015,0,35.08647222,-78.93221111
North Carolina,371013,1,5,51,0,30,10,2015,0,34.99492222,-78.83135833
North Carolina,371014,2,4,53,0,23,10,2015,0,36.38782778,-76.00525
North Carolina,371015,1,1,57,0,31,10,2015,0,35.76418611,-80.21515556
North Carolina,371016,1,1,61,0,28,10,2015,0,34.82541389,-77.80676389
North Carolina,371017,1,1,63,0,24,10,2015,0,36.02794722,-78.86495556
North Carolina,371018,2,3,105,0,30,10,2015,0,35.47036667,-79.16799444
North Carolina,371019,2,3,113,0,30,10,2015,0,35.20649722,-83.35939722
North Carolina,371020,1,1,119,870,9,10,2015,0,35.26730833,-80.87261944
North Carolina,371021,2,3,119,2280,29,10,2015,0,35.41663889,-80.84050833
North Carolina,371022,1,1,127,3930,29,10,2015,0,35.973975,-77.85200833
North Carolina,371023,1,1,135,860,15,10,2015,0,35.94789444,-79.08303611
North Carolina,371024,1,2,147,1950,25,10,2015,0,35.56285833,-77.46011389
North Carolina,371025,1,1,147,0,26,10,2015,0,35.44618889,-77.263575
North Carolina,371026,3,8,155,0,23,10,2015,0,34.88204722,-79.19519722
North Carolina,371027,2,4,155,0,29,10,2015,0,34.91438333,-79.20040833
North Carolina,371028,2,2,163,0,18,10,2015,0,34.73363333,-78.20725
North Carolina,371029,1,1,181,0,4,10,2015,0,36.34723889,-78.38718333
North Carolina,371030,2,7,181,2120,17,10,2015,0,36.31681944,-78.40163056
North Carolina,371031,1,1,183,0,29,10,2015,0,35.75676944,-78.54356944
North Carolina,371032,2,2,191,0,19,10,2015,0,35.20393889,-78.02030833
North Carolina,371033,1,1,3,0,6,11,2015,0,35.90729444,-81.10781389
North Carolina,371034,1,1,21,0,2,11,2015,0,35.59036944,-82.60286111
North Carolina,371035,5,5,21,0,5,11,2015,0,35.54775833,-82.60664444
North Carolina,371036,2,2,25,1040,2,11,2015,0,35.40202222,-80.55906389
North Carolina,371037,1,1,33,0,1,11,2015,0,36.53451667,-79.21257222
North Carolina,371038,1,1,37,0,10,11,2015,0,35.71076111,-79.54281944
North Carolina,371039,1,4,45,0,8,11,2015,0,35.23405833,-81.51530556
North Carolina,371040,1,1,81,0,12,11,2015,0,35.99131944,-79.74101944
North Carolina,371041,1,1,83,0,3,11,2015,0,36.13050833,-77.42179722
North Carolina,371042,1,1,85,0,10,11,2015,99999,35.33555556,-78.65239167
North Carolina,371043,2,4,99,0,3,11,2015,99999,35.11974722,-83.08716944
North Carolina,371044,2,1,119,870,2,11,2015,99999,35.12324722,-80.91286389
North Carolina,371045,1,1,123,0,2,11,2015,99999,35.34545278,-79.74978611
North Carolina,371046,1,1,127,0,3,11,2015,99999,36.10580833,-77.81370833
North Carolina,371047,1,2,129,0,1,11,2015,99999,34.14404167,-77.89739722
North Carolina,371048,2,3,129,5060,1,11,2015,99999,34.23818889,-77.87183056
North Carolina,371049,1,2,131,0,7,11,2015,99999,36.51986944,-77.86670556
North Carolina,371050,1,1,133,0,4,11,2015,99999,34.94980833,-77.61206944
North Carolina,371051,1,1,135,0,13,11,2015,99999,36.14002222,-79.12140556
North Carolina,371052,1,1,147,0,15,11,2015,99999,35.56716944,-77.44530833
North Carolina,371053,1,1,151,0,9,11,2015,99999,35.77587222,-79.86419167
North Carolina,371054,1,2,155,0,4,11,2015,99999,34.69525833,-79.19794444
North Carolina,371055,1,1,163,0,3,11,2015,99999,34.890875,-78.20086111
North Carolina,371056,1,1,167,0,5,11,2015,99999,35.24080833,-80.31224722
